Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
EL SALVADOR,Chinameca,Geothermal,Chinameca,25,Under construction,Undetermined,LaGeo. S.A. de C.V. (Grupo Cel),State,Santa Tecla (El Salvador),http://lageo.com.sv/index.html?lang=es&txtsrc=chinameca&btnsrch= https://blogs.worldbank.org/es/latinamerica/el-salvador-apuesta-por-la-geotermia-para-su-desarrollo-sostenible,13.4871107,-88.3360186
EL SALVADOR,Los Remedios,Solar,Acajutla,26,Operational,2019,Real Infrastructure Capital Partners LLC,Private,New York (US),https://www.enerlandgroup.es/es/proyectos/detalle.php?id=116,13.762164,-89.757473
EL SALVADOR,Bósforo I,Solar,La Unión,30,Operational,2018,Corporación Multi Inversiones/AES El Salvador,Private,San Salvador (El Salvador),https://www.cmi.co/es/component/blankcomponent/?view=default&Itemid=113 https://www.aes-elsalvador.com/es/bosforo,13.5491231,-87.8247044
EL SALVADOR,Bósforo III,Solar,San Salvador,30,Operational,2019,Corporación Multi Inversiones/AES El Salvador,Private,San Salvador (El Salvador),https://www.cmi.co/es/component/blankcomponent/?view=default&Itemid=113 https://www.aes-elsalvador.com/es/bosforo,13.9348113,-89.1840103
EL SALVADOR,Bósforo II,Solar,Santa Ana/Sonsonate/Usulután,40,Operational,2019,Corporación Multi Inversiones/AES El Salvador,Private,San Salvador (El Salvador),https://www.cmi.co/es/component/blankcomponent/?view=default&Itemid=113 https://www.aes-elsalvador.com/es/bosforo,13.6358788,-89.7630774
EL SALVADOR,Ventus,Wind,Metapán (Santa Ana),50,Under construction,Undetermined,Ventus. S.A. de C.V. (Grupo Centrans/Grupo Luz y Fuerza),Private,San Salvador (El Salvador),,14.3692604,-89.4887177
EL SALVADOR,Ahuachapán,Geothermal,Ahuachapán,95,Operational,1975,LaGeo. S.A. de C.V. (Grupo Cel),State,Santa Tecla (El Salvador),http://lageo.com.sv/CentralAhuachapan.html,13.9199726,-89.8194122
EL SALVADOR,Providencia Solar,Solar,Las Flores,101,Operational,2016,Neoen SAS,Private,París (France),https://www.neoen.com/en/about-us-en,13.4568938,-89.0088423
EL SALVADOR,Berlín,Geothermal,Usulután,109.4,Operational,1992,LaGeo. S.A. de C.V. (Grupo Cel),State,Santa Tecla (El Salvador),http://lageo.com.sv/CentralBerlin.html,13.5124047,-88.5162757
EL SALVADOR,Capella,Solar,Usulután,140,Operational,2020,Capella Solar S.A. de C.V. (Neoen),Private,París (France),https://www.neoen.com/en/about-us-en,13.3111247,-88.5390687
GUATEMALA,Orzunil,Geothermal,Zunil (Quetzaltenango),18,Operational,1999,Ormat Technologies Inc.,Private,Reno (US),https://www.ormat.com/en/projects/all/main/?Country=Guatemala&Seg=0&Tech=0,14.7739171,-91.5083547
GUATEMALA,Viento Blanco,Wind,San Vicente Pacaya (Escuintla),23.1,Operational,2015,Viento Blanco. S.A.,Private,Guatemala (Guatemala),https://viento-blanco.com/parque-eolico/,14.3912162,-90.6660341
GUATEMALA,El Ceibillo,Geothermal,Amatitlán (Guatemala),25,Under construction,Undetermined,US Geothermal Guatemala (Ormat Technologies Inc.),Private,Reno (US),,14.4733027,-90.648553
GUATEMALA,Ortitlán,Geothermal,San Vicente Pacaya (Escuintla),25.2,Operational,2007,Ormat Technologies Inc.,Private,Reno (US),https://www.ormat.com/en/projects/all/main/?Country=Guatemala&Seg=0&Tech=0,14.408728,-90.60924
